地点,当地时间,温度,气压,湿度,风向,风速
深圳市,2024-12-10 23:00:00,19.9,762.9,78,从东北偏东方向吹来的风,1
深圳市,2024-12-10 20:00:00,19.9,762.1,69,从东北方吹来的风,1
深圳市,2024-12-10 17:00:00,22.3,760.9,60,从东北偏东方向吹来的风,1
深圳市,2024-12-10 14:00:00,24.5,761.3,57,从东方吹来的风,2
深圳市,2024-12-10 11:00:00,22.3,763.5,65,从东北方吹来的风,2
深圳市,2024-12-10 08:00:00,17.9,763.0,77,从东北偏北方向吹来的风,1
深圳市,2024-12-10 05:00:00,17.3,762.4,80,从东北偏北方向吹来的风,1
深圳市,2024-12-10 02:00:00,17.0,763.0,80,从东北偏北方向吹来的风,1
深圳市,2024-12-09 23:00:00,15.9,764.1,83,从东北偏北方向吹来的风,1
深圳市,2024-12-09 20:00:00,16.8,764.2,77,从东北偏东方向吹来的风,1
深圳市,2024-12-09 17:00:00,20.1,763.1,62,从西南方吹来的风,2
深圳市,2024-12-09 14:00:00,21.2,763.8,53,从南方吹来的风,1
深圳市,2024-12-09 11:00:00,16.7,766.5,63,从东北偏北方向吹来的风,2
深圳市,2024-12-09 08:00:00,14.9,766.3,67,从东北偏北方向吹来的风,5
深圳市,2024-12-09 05:00:00,15.1,765.6,67,从东北偏北方向吹来的风,4
深圳市,2024-12-09 02:00:00,16.0,766.3,65,从北方吹来的风,2
深圳市,2024-12-08 23:00:00,17.0,766.9,62,从东北偏北方向吹来的风,3
深圳市,2024-12-08 20:00:00,17.6,766.5,60,从东北偏北方向吹来的风,2
深圳市,2024-12-08 17:00:00,18.4,765.1,59,从东北偏北方向吹来的风,3
深圳市,2024-12-08 14:00:00,20.5,765.0,56,从北方吹来的风,2
深圳市,2024-12-08 11:00:00,17.5,767.5,51,从东北偏北方向吹来的风,3
深圳市,2024-12-08 08:00:00,13.6,767.8,52,从北方吹来的风,3
深圳市,2024-12-08 05:00:00,14.0,765.8,71,从东北偏北方向吹来的风,3
深圳市,2024-12-08 02:00:00,14.8,766.2,69,从东北偏北方向吹来的风,3
深圳市,2024-12-07 23:00:00,16.5,766.6,68,从东北偏北方向吹来的风,4
深圳市,2024-12-07 20:00:00,18.6,765.2,66,从东北偏北方向吹来的风,4
深圳市,2024-12-07 17:00:00,20.5,763.0,61,从北方吹来的风,2
深圳市,2024-12-07 14:00:00,22.7,762.7,54,从北方吹来的风,3
