地点,当地时间,温度,气压,湿度,风向,风速
深圳市,2024-01-31 11:00:00,20.7,766.0,84,从东南方吹来的风,1
深圳市,2024-01-30 17:00:00,20.0,764.5,79,从西南偏南方向吹来的风,1
深圳市,2024-01-30 11:00:00,19.8,766.8,80,从南方吹来的风,1
深圳市,2024-01-19 17:00:00,23.7,760.7,64,从东南偏南方向吹来的风,2
深圳市,2024-01-19 14:00:00,26.4,761.0,49,从东南方吹来的风,2
深圳市,2024-01-18 17:00:00,23.9,761.6,64,从东南偏南方向吹来的风,2
深圳市,2024-01-18 05:00:00,19.1,763.7,71,从东南方吹来的风,1
深圳市,2024-01-17 11:00:00,21.3,766.5,59,从东南偏东方向吹来的风,2
深圳市,2024-01-17 05:00:00,16.4,765.7,83,从东南偏东方向吹来的风,1
深圳市,2024-01-16 17:00:00,21.1,765.5,65,从西南偏南方向吹来的风,2
深圳市,2024-01-16 14:00:00,23.5,765.7,54,从东南偏东方向吹来的风,2
深圳市,2024-01-16 05:00:00,16.7,766.3,75,从东南偏东方向吹来的风,3
深圳市,2024-01-15 17:00:00,23.2,764.8,46,从东南偏东方向吹来的风,2
深圳市,2024-01-15 05:00:00,16.8,765.7,80,从东南方吹来的风,0
深圳市,2024-01-15 02:00:00,17.8,766.0,75,从东南偏南方向吹来的风,1
深圳市,2024-01-14 20:00:00,20.7,765.7,67,从东南方吹来的风,1
深圳市,2024-01-14 17:00:00,22.8,764.9,51,从南方吹来的风,2
深圳市,2024-01-14 14:00:00,26.1,764.9,43,从东南方吹来的风,1
深圳市,2024-01-13 20:00:00,19.3,765.5,36,从东南方吹来的风,1
深圳市,2024-01-13 17:00:00,21.8,764.3,36,从东南方吹来的风,2
深圳市,2024-01-13 14:00:00,23.9,764.0,39,从东南偏东方向吹来的风,2
深圳市,2024-01-13 11:00:00,21.8,765.9,43,从东南方吹来的风,2
深圳市,2024-01-12 17:00:00,20.4,763.4,67,从南方吹来的风,1
深圳市,2024-01-12 14:00:00,21.6,763.4,61,从西南方吹来的风,2
深圳市,2024-01-11 17:00:00,19.6,763.9,62,从西南偏南方向吹来的风,2
深圳市,2024-01-11 14:00:00,22.9,764.2,46,从西南方吹来的风,1
深圳市,2024-01-09 20:00:00,21.2,762.6,74,从南方吹来的风,1
深圳市,2024-01-08 05:00:00,16.6,764.6,78,从东南偏东方向吹来的风,1
深圳市,2024-01-07 14:00:00,23.3,765.1,51,从东南方吹来的风,3
深圳市,2024-01-07 11:00:00,21.4,766.9,58,从东南偏东方向吹来的风,2
深圳市,2024-01-06 20:00:00,19.8,764.8,73,从东南偏南方向吹来的风,1
深圳市,2024-01-06 17:00:00,22.1,764.0,64,从西南偏南方向吹来的风,2
深圳市,2024-01-06 11:00:00,22.7,766.3,64,从西南方吹来的风,1
深圳市,2024-01-06 08:00:00,16.7,766.3,87,从西南偏南方向吹来的风,1
深圳市,2024-01-06 05:00:00,16.1,765.1,87,从东南偏东方向吹来的风,1
深圳市,2024-01-05 20:00:00,18.2,765.2,81,从西南方吹来的风,1
深圳市,2024-01-05 17:00:00,21.0,763.8,68,从西南偏南方向吹来的风,1
深圳市,2024-01-05 14:00:00,22.6,764.2,58,从西南方吹来的风,3
深圳市,2024-01-05 11:00:00,20.8,766.3,59,从东南偏南方向吹来的风,2
深圳市,2024-01-04 20:00:00,16.5,765.9,73,从南方吹来的风,2
深圳市,2024-01-04 17:00:00,18.7,764.7,60,从西南方吹来的风,2
深圳市,2024-01-04 14:00:00,20.8,764.8,51,从西南偏南方向吹来的风,1
深圳市,2024-01-02 17:00:00,21.1,762.7,61,从南方吹来的风,1
深圳市,2024-01-02 05:00:00,16.8,764.2,79,从东南偏东方向吹来的风,1
深圳市,2024-01-01 20:00:00,18.6,765.1,79,从东南偏东方向吹来的风,2
深圳市,2024-01-01 17:00:00,21.1,763.5,70,从西南方吹来的风,2
深圳市,2024-01-01 14:00:00,25.0,763.5,56,从东南偏南方向吹来的风,2
深圳市,2024-01-01 11:00:00,22.9,766.0,62,从东南方吹来的风,2
