地点,当地时间,温度,气压,湿度,风向,风速
北京,2023-12-31 23:00:00,-1.8,775.1,51,从西南偏南方向吹来的风,2
北京,2023-12-31 20:00:00,-2.0,775.3,51,从西南偏南方向吹来的风,1
北京,2023-12-31 17:00:00,2.6,774.4,34,从东南方吹来的风,1
北京,2023-12-31 14:00:00,4.2,773.7,30,从北方吹来的风,2
北京,2023-12-31 11:00:00,1.8,774.4,34,从东北方吹来的风,3
北京,2023-12-31 08:00:00,-1.3,773.2,40,从东北偏东方向吹来的风,1
北京,2023-12-31 05:00:00,0.2,770.5,37,从北方吹来的风,3
北京,2023-12-31 02:00:00,1.4,769.1,37,从北方吹来的风,2
北京,2023-12-30 23:00:00,2.8,766.9,36,从西北偏西方向吹来的风,3
北京,2023-12-30 20:00:00,0.1,765.5,70,从西北偏北方向吹来的风,2
北京,2023-12-30 17:00:00,0.9,763.0,71,从西南方吹来的风,1
北京,2023-12-30 14:00:00,2.3,761.4,66,从西北偏西方向吹来的风,1
北京,2023-12-30 11:00:00,-1.2,762.4,83,从南方吹来的风,1
北京,2023-12-30 08:00:00,-5.8,762.2,92,从北方吹来的风,0
北京,2023-12-30 05:00:00,-4.3,762.5,93,从东北偏北方向吹来的风,1
北京,2023-12-30 02:00:00,-4.7,764.2,90,从东南方吹来的风,0
北京,2023-12-29 23:00:00,-1.8,765.0,82,从东南方吹来的风,1
北京,2023-12-29 20:00:00,-1.0,766.0,79,从西南偏南方向吹来的风,1
北京,2023-12-29 17:00:00,0.6,766.7,70,从南方吹来的风,2
北京,2023-12-29 14:00:00,1.8,767.3,57,从西南偏南方向吹来的风,2
北京,2023-12-29 11:00:00,-0.7,769.8,70,从西南方吹来的风,1
北京,2023-12-29 08:00:00,-7.5,770.2,90,无风,0
北京,2023-12-29 05:00:00,-7.8,770.5,90,从西方吹来的风,1
北京,2023-12-29 02:00:00,-6.0,771.7,87,从南方吹来的风,1
北京,2023-12-28 23:00:00,-3.8,772.6,79,从西南偏南方向吹来的风,1
北京,2023-12-28 20:00:00,-2.5,772.9,70,从西南方吹来的风,1
北京,2023-12-28 17:00:00,1.8,772.0,49,从西南方吹来的风,1
北京,2023-12-28 14:00:00,4.2,771.8,42,从西南偏南方向吹来的风,2
北京,2023-12-28 11:00:00,0.5,773.3,56,从西南偏西方向吹来的风,2
北京,2023-12-28 08:00:00,-8.6,772.6,88,从西南偏西方向吹来的风,0
北京,2023-12-28 05:00:00,-8.5,772.0,87,从北方吹来的风,0
北京,2023-12-28 02:00:00,-7.2,772.3,88,从东北方吹来的风,1
北京,2023-12-27 23:00:00,-5.8,772.9,84,从西南偏西方向吹来的风,1
北京,2023-12-27 20:00:00,-3.6,773.2,72,从西南方吹来的风,1
北京,2023-12-27 17:00:00,0.7,773.1,53,从西南偏南方向吹来的风,1
北京,2023-12-27 14:00:00,2.5,773.9,44,从南方吹来的风,3
北京,2023-12-27 11:00:00,0.5,776.1,49,从西南偏西方向吹来的风,2
北京,2023-12-27 08:00:00,-9.0,776.5,82,从北方吹来的风,0
北京,2023-12-27 05:00:00,-8.5,776.0,80,从东北偏东方向吹来的风,1
北京,2023-12-27 02:00:00,-7.9,777.1,78,从西南偏西方向吹来的风,0
北京,2023-12-26 23:00:00,-6.1,777.2,72,从北方吹来的风,0
北京,2023-12-26 20:00:00,-4.4,776.7,66,从北方吹来的风,0
北京,2023-12-26 17:00:00,1.4,775.3,38,无风,0
北京,2023-12-26 14:00:00,2.7,774.4,33,从东北方吹来的风,2
北京,2023-12-26 11:00:00,2.7,774.4,33,从东北方吹来的风,4
